zip code,population
43525,"1,105"
43930,"1,102"
43720,"1,096"
43511,"1,083"
45317,"1,080"
44503,"1,072"
43435,"1,069"
45312,"1,068"
45034,"1,059"
45678,"1,051"
43504,"1,050"
43445,"1,048"
45711,"1,040"
44887,"1,036"
43066,"1,033"
45867,"1,031"
44628,"1,028"
44651,"1,025"
43462,"1,012"
43767,"1,010"
43319,"1,010"
43153,"1,006"
43971,"1,003"
43356,"1,003"
45788,"1,003"
45849,991
43413,982
45876,980
44093,978
44702,975
43345,970
45674,956
44802,952
43341,946
45841,936
45778,936
43501,932
43932,927
44251,924
45770,912
45890,907
45868,904
44490,898
45776,896
45654,884
43442,881
43333,872
45001,869
45330,859
43843,842
43337,836
45158,827
45348,818
43084,813
45727,781
45695,765
45894,762
45779,760
45898,755
45388,755
43548,753
45821,746
45719,744
45696,741
43782,733
45820,723
43788,720
44653,719
43722,719
45062,707
43468,702
45620,694
43948,691
44454,690
44815,688
44045,680
44841,679
45332,664
43359,663
43746,658
45354,656
45032,655
44101,647
43323,646
44699,631
43157,626
45160,624
43811,623
45851,623
45646,599
44844,595
45816,593
43779,585
45886,566
43152,563
45328,561
43535,557
43407,556
44652,556
44689,521
43547,510
45003,508
43033,503
43553,501
45389,499
45378,497
43456,495
45859,494
45155,489
43768,484
43437,480
45835,473
44687,473
43463,468
43029,468
45630,467
43005,463
43905,463
45033,460
45698,460
45716,457
45870,447
43002,441
45360,438
45782,434
45861,427
43144,425
43565,422
45650,421
43158,416
45741,412
44439,393
45621,389
45808,384
45854,382
43126,376
43408,376
44661,373
45051,372
43940,368
43127,367
43006,351
43322,349
45671,348
43321,346
45351,346
43458,344
43036,341
43531,339
45673,337
45111,336
43101,335
43529,330
43519,328
45340,326
45622,326
44274,325
45740,322
45734,320
43983,316
45349,314
45319,313
45688,308
45131,307
43721,305
45164,302
45361,302
44874,301
45358,300
45307,299
45372,299
44639,297
45826,297
45172,294
45469,293
45888,289
43961,289
43438,289
45428,285
45301,276
45819,271
43939,271
45636,271
43077,265
44610,264
43555,262
45746,259
43805,259
43350,242
45115,241
43981,241
44697,240
45147,240
43010,239
43985,238
45783,236
44825,233
43151,233
43510,226
44678,225
43735,225
43902,223
43967,223
43759,222
43925,220
44068,219
45310,218
45352,217
43740,216
43030,215
43926,209
44555,206
45132,204
43037,204
43536,204
44640,201
45893,201
43791,198
44049,198
45353,197
43156,193
44856,190
43934,189
43842,188
43027,188
45899,188
44665,186
43414,181
44838,176
43317,175
44828,169
44861,167
45884,166
43931,165
45864,165
45855,164
43109,162
44619,155
43541,155
44630,152
43434,150
45055,149
45789,147
44080,145
45773,142
44659,140
43717,140
45041,130
45435,130
43928,130
44493,130
45316,128
44671,126
44809,126
43750,118
45070,115
43836,115
44660,112
43142,112
43325,111
44285,107
43738,106
43467,102
43972,102
45838,100
45848,99
45866,99
43761,99
44881,98
43111,94
45897,94
45815,91
43505,88
44690,86
45336,85
44607,85
45809,83
43974,83
45156,78
43786,78
43446,78
43962,74
43951,71
43346,70
45166,69
43117,69
43070,69
43733,64
43711,63
45105,62
45350,59
43330,56
45677,56
43439,55
44424,54
43018,48
43523,47
43007,47
43433,45
45739,45
44670,42
44693,41
43909,39
45112,37
45721,33
44850,29
43914,29
43520,23
43047,22
43736,22
45267,4
